gameId,queueId,seasonId,gameVersion,gameDuration,100_JUNGLE_champ,100_JUNGLE_rank,100_TOP_champ,100_TOP_rank,100_MIDDLE_champ,100_MIDDLE_rank,100_BOTTOM_2_champ,100_BOTTOM_2_rank,100_BOTTOM_champ,100_BOTTOM_rank,200_JUNGLE_champ,200_JUNGLE_rank,200_TOP_champ,200_TOP_rank,200_MIDDLE_champ,200_MIDDLE_rank,200_BOTTOM_2_champ,200_BOTTOM_2_rank,200_BOTTOM_champ,200_BOTTOM_rank,win
514896224,420,9,7.21.206.6866,1490,24,5,6,5,99,3,51,5,117,3,81,2,98,4,8,3,25,5,222,5,0
514858854,420,9,7.21.206.6866,2293,81,4,240,1,55,3,429,4,412,3,33,5,92,5,103,6,18,4,37,3,0
514861635,420,9,7.21.206.6866,2055,121,5,39,5,99,5,51,6,12,6,9,5,59,3,3,4,222,4,44,3,1
514870430,420,9,7.21.206.6866,1598,11,3,75,4,50,3,67,4,25,3,9,5,30,3,6,5,81,4,201,1,0
514851969,420,9,7.21.206.6866,1654,59,5,41,3,268,5,96,5,497,3,57,5,30,3,131,3,37,5,222,4,0
514659299,420,9,7.21.206.6866,2043,79,1,92,1,115,6,18,5,267,5,78,5,86,4,34,4,67,4,117,4,1
514694689,420,9,7.21.206.6866,1287,31,2,82,1,45,4,53,5,29,4,57,5,236,1,1,5,498,4,63,6,1
514654359,420,9,7.21.206.6866,2091,78,5,75,3,101,4,16,3,67,4,77,5,126,6,7,4,89,4,119,5,1
519427711,440,9,7.22.208.1062,1990,59,3,104,3,105,3,29,1,40,3,120,4,150,4,112,4,202,3,37,3,0
519404044,440,9,7.22.208.1062,1750,141,3,164,3,38,1,51,3,412,4,154,3,7,4,61,3,201,3,222,1,1
519327758,440,9,7.22.208.1062,1707,77,3,48,3,268,4,29,1,16,1,35,3,6,3,134,3,143,4,22,3,1
519323089,440,9,7.22.208.1062,2073,254,3,39,1,163,3,44,1,67,3,104,4,17,3,84,3,22,3,497,4,0
519319184,440,9,7.22.208.1062,1206,121,3,68,3,81,4,22,3,12,3,203,4,67,4,157,4,110,3,43,4,1
516736973,440,9,7.22.208.1062,1500,141,1,150,1,163,1,99,1,51,1,120,1,31,1,134,1,18,1,25,1,1
516697210,440,9,7.22.208.1062,2570,121,1,8,1,84,1,497,1,67,1,60,1,75,1,55,1,21,1,37,1,0
514935086,420,9,7.21.206.6866,1924,102,1,36,4,54,3,117,3,18,4,113,4,6,1,61,1,67,3,14,1,1
514599443,440,9,7.21.206.6866,2149,19,3,516,3,103,3,110,4,89,4,59,4,245,4,105,3,412,3,119,3,0
514600896,440,9,7.21.206.6866,2396,254,1,58,1,245,1,202,3,40,2,113,1,98,3,105,3,89,1,22,3,0
514585741,440,9,7.21.206.6866,1748,254,2,150,3,7,3,18,3,89,2,64,3,240,4,45,4,497,3,29,4,0
514580018,440,9,7.21.206.6866,2460,121,3,58,5,38,2,222,4,63,3,141,5,105,5,99,3,29,5,1,5,1
514555919,420,9,7.21.206.6866,1576,64,3,114,2,126,3,12,2,222,3,107,3,57,3,105,2,81,2,53,3,0
514540903,420,9,7.21.206.6866,1932,64,3,114,3,131,3,53,1,222,3,113,1,80,2,157,4,497,1,236,3,0
514526403,440,9,7.21.206.6866,1664,79,1,164,1,134,4,57,3,498,1,64,1,6,2,105,3,412,3,222,3,0
514297820,420,9,7.21.206.6866,2205,81,3,122,3,42,3,51,3,497,1,64,1,24,1,63,3,1,1,29,3,1
514274176,440,9,7.21.206.6866,1629,76,2,50,3,161,2,15,3,89,4,33,1,58,3,61,3,96,1,40,1,1
514266080,420,9,7.21.206.6866,1805,254,2,62,3,245,3,498,3,117,4,113,4,54,2,238,3,4,3,267,3,0
514260746,420,9,7.21.206.6866,1480,113,5,240,2,90,4,18,4,54,2,131,2,57,3,55,3,117,1,202,3,0
